City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
242,Neiafu,TO,2022-02-03 01:23:00,-18.65,-173.9833,86.68,66,75,6.91,broken clouds
243,Nanakuli,US,2022-02-03 01:23:01,21.3906,-158.1547,81.03,64,100,5.75,overcast clouds
244,Bathsheba,BB,2022-02-03 01:23:01,13.2167,-59.5167,75.81,83,20,19.57,few clouds
245,Kirakira,SB,2022-02-03 01:23:01,-10.4544,161.9205,82.06,82,100,6.62,light rain
246,Brae,GB,2022-02-03 01:23:02,60.3964,-1.353,44.51,92,100,9.4,overcast clouds
247,Humaita,BR,2022-02-03 01:23:02,-7.5061,-63.0208,74.07,97,100,2.04,overcast clouds
248,Yichang,CN,2022-02-03 01:23:03,30.7144,111.2847,40.33,66,96,0.4,overcast clouds
249,Surab,PK,2022-02-03 01:23:03,28.4914,66.2585,33.66,67,0,12.08,clear sky
250,Havre-Saint-Pierre,CA,2022-02-03 01:23:03,50.2334,-63.5986,28.4,86,100,11.5,overcast clouds
251,Novikovo,RU,2022-02-03 01:23:04,51.1537,37.8879,31.6,99,100,3.65,snow
252,Lebu,CL,2022-02-03 01:23:04,-37.6167,-73.65,60.15,88,81,10.4,broken clouds
253,Portland,US,2022-02-03 01:19:02,45.5234,-122.6762,46.45,93,100,1.99,mist
254,Ixcatepec,MX,2022-02-03 01:23:05,21.2,-97.95,67.75,92,1,7.54,clear sky
255,Kimbe,PG,2022-02-03 01:23:05,-5.5502,150.1429,76.19,93,100,5.41,moderate rain
256,Gravdal,NO,2022-02-03 01:23:05,68.1214,13.5031,24.39,65,100,9.82,overcast clouds
257,Talnakh,RU,2022-02-03 01:23:06,69.4865,88.3972,-9.08,99,99,6.62,overcast clouds
258,Bairiki,KI,2022-02-03 01:23:06,1.3292,172.9752,84.2,84,20,5.75,light rain
259,Buenos Aires,AR,2022-02-03 01:22:00,-34.6132,-58.3772,82.96,65,0,5.75,clear sky
260,Coquimbo,CL,2022-02-03 01:23:07,-29.9533,-71.3436,64.13,82,75,6.91,broken clouds
