City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Saint-Augustin,CA,2022-01-30 21:00:38,51.226,-58.6502,27.3,92,99,29.19
242,Marsh Harbour,BS,2022-01-30 20:57:16,26.5412,-77.0636,63.1,58,100,12.33
243,Lata,PT,2022-01-30 20:52:03,40.1629,-8.3327,50.41,50,99,2.89
244,Warrington,GB,2022-01-30 21:00:39,53.3925,-2.5802,47.86,83,100,11.99
245,Port Alfred,ZA,2022-01-30 21:00:40,-33.5906,26.891,74.1,88,96,18.9
246,Wanaka,NZ,2022-01-30 21:00:40,-44.7,169.15,64.11,70,5,1.99
247,Sahbuz,AZ,2022-01-30 21:00:41,39.4072,45.5739,22.6,89,75,4.63
248,Kahului,US,2022-01-30 21:00:41,20.8947,-156.47,79.86,66,4,18.01
249,Fenoarivo,MG,2022-01-30 21:00:41,-18.933,47.4354,66.27,82,20,9.22
250,Roma,US,2022-01-30 21:00:42,43.2128,-75.4557,21.88,40,20,6.91
251,Camapua,BR,2022-01-30 21:00:42,-19.5314,-54.0439,75.83,88,80,9.73
252,Lindi,TZ,2022-01-30 21:00:43,-10.0,39.7167,73.06,94,42,1.86
253,Pevek,RU,2022-01-30 20:53:33,69.7008,170.3133,-12.42,95,100,2.48
254,Linxia,CN,2022-01-30 21:00:43,35.6003,103.2064,7.14,87,39,3.71
255,Rawson,AR,2022-01-30 21:00:43,-43.3002,-65.1023,57.4,50,75,18.68
256,Puerto Escondido,MX,2022-01-30 21:00:44,15.85,-97.0667,83.43,58,0,6.15
257,Riyadh,SA,2022-01-30 20:59:42,24.6877,46.7219,59.14,42,0,11.86
258,Byron Bay,AU,2022-01-30 20:51:26,-28.65,153.6167,75.15,89,88,8.23
259,Camocim,BR,2022-01-30 20:59:05,-2.9022,-40.8411,78.73,72,98,13.33
260,Caborca,MX,2022-01-30 21:00:45,30.5838,-111.101,65.82,18,0,10.18
261,Yuyao,CN,2022-01-30 21:00:45,30.05,121.1494,36.81,85,5,1.83
262,Salamanca,ES,2022-01-30 21:00:46,40.8333,-6.0,34.0,48,13,0.85
263,Pryazha,RU,2022-01-30 21:00:46,61.6926,33.6216,19.9,95,100,7.25
264,Leningradskiy,RU,2022-01-30 21:00:46,69.3833,178.4167,-12.53,94,98,2.95
265,North Bend,US,2022-01-30 20:51:58,43.4065,-124.2243,55.17,87,40,13.8
266,Luganville,VU,2022-01-30 21:00:47,-15.5333,167.1667,77.76,89,100,5.37
267,Gbarnga,LR,2022-01-30 21:00:47,6.9956,-9.4722,75.24,29,99,1.43
268,Santa Isabel Do Rio Negro,BR,2022-01-30 21:00:48,-0.4139,-65.0192,82.17,77,99,3.11
269,Banjar,ID,2022-01-30 21:00:48,-8.19,114.9675,76.91,91,100,3.02
270,Jesus Del Monte,MX,2022-01-30 21:00:49,19.1081,-99.9944,64.33,46,66,7.54
271,Provideniya,RU,2022-01-30 20:51:48,64.3833,-173.3,10.51,72,0,17.9
272,Okhotsk,RU,2022-01-30 20:51:00,59.3833,143.3,14.16,73,100,18.72
273,Rio Bueno,CL,2022-01-30 21:00:49,-40.3167,-72.9667,67.1,29,21,8.9
274,Kaeo,NZ,2022-01-30 20:56:47,-35.1,173.7833,71.33,76,100,14.36
275,Sorong,ID,2022-01-30 20:54:16,-0.8833,131.25,81.1,77,100,10.49
276,Lyubinskiy,RU,2022-01-30 21:00:50,55.1542,72.6925,4.68,96,100,8.34
277,Benjamin Hill,MX,2022-01-30 21:00:50,30.1667,-111.1,66.18,17,0,11.54
278,Bara,NG,2022-01-30 21:00:51,10.3744,10.7288,70.9,18,100,12.8
279,Fort-Shevchenko,KZ,2022-01-30 21:01:51,44.5086,50.263,36.7,88,89,10.4
280,Bodden Town,KY,2022-01-30 21:01:52,19.2833,-81.25,71.01,55,71,7.0
281,Semnan,IR,2022-01-30 21:01:52,35.5729,53.3971,34.7,44,0,1.86
282,Fairbanks,US,2022-01-30 21:00:00,64.8378,-147.7164,-9.76,76,84,0.78
283,Axim,GH,2022-01-30 21:01:53,4.8699,-2.2405,79.39,85,98,6.31
284,Abu Samrah,SY,2022-01-30 21:01:53,35.3029,37.1841,43.86,71,93,3.98
285,Plettenberg Bay,ZA,2022-01-30 21:01:54,-34.0527,23.3716,69.49,94,84,2.84
286,Los Algarrobos,PA,2022-01-30 21:01:54,8.5,-82.4333,85.44,50,24,6.55
287,Santa Maria,BR,2022-01-30 21:01:54,-29.6842,-53.8069,83.71,47,42,8.86
288,Magsaysay,PH,2022-01-30 21:01:55,6.7667,125.1833,72.57,91,61,0.4
289,Naron,ES,2022-01-30 21:01:55,43.5167,-8.1528,50.02,79,0,5.21
290,Chany,RU,2022-01-30 21:01:55,55.3121,76.7647,10.33,98,86,7.34
291,Totness,SR,2022-01-30 21:01:56,5.8833,-56.3167,78.91,79,56,11.88
292,Ujjain,IN,2022-01-30 21:01:49,23.1833,75.7667,57.33,33,0,6.4
